Roadtrip NOVA SCOTIA,,,,,,,,,,,,,,
Date,Départ,Arrivée,Distance,Durée (pur),Durée (avec arrêts),Attraits de la journée,Coucher,Date de réservation,Budget,Liens,,,,
27-Jul,Qc,Moncton,750 Km,7h30,10 h,,Hotel,,$250.00,,,,,
28-Jul,Moncton,Mira Provincial Park https://parks.novascotia.ca/park/mira-river,500 Km,5h30,10 h,Baddeck - Musée Graham Bell (lieu national historique). Visite = 2h00,Camping ,8 avril 9h00,$50.00,https://parcs.canada.ca/lhn-nhs/ns/grahambell,,,,
29-Jul,Mira Provincial Park,Louisbourg,40 Km,0h30,,"Forteresse de Louis-Bourg, Point de débarquement de Wolf",Camping,,$50.00,,,,,
30-Jun,Mira Provincial Park,Broad Cove,165 Km,2h30,,Plage de Broad Cove - Sentier de 1 h au camping,Camping,9 février 7h00,$30.00,"https://reservation.pc.gc.ca/create-booking/results?transactionLocationId=-2147483643&resourceLocationId=-2147483631&mapId=-2147483562&searchTabGroupId=0&bookingCategoryId=0&startDate=2026-07-14&endDate=2026-07-16&nights=2&isReserving=true&equipmentId=-32768&subEquipmentId=-32765&peopleCapacityCategoryCounts=%5B%5B-32767,null,1,null%5D%5D&filterData=%7B%22-32756%22:%22%5B%5B1%5D,0,0,0%5D%22%7D&searchTime=2026-01-26T16:25:15.238&flexibleSearch=%5Bfalse,false,null,1%5D",,,,
31-Jul,Broad Cove,Broad Cove,150 Km,2h30,,Exploration du secteur de la pointe (jusqu'à Meat Cove),Camping,,$30.00,Broad Cove emplacement #99-101,,,,
1-Aug,Broad Cove,Chéticamp,110 Km ,2h00,6 h,Skyline Trail,Camping,,$30.00,"Chéticamp Emplacement #81-83
https://parcs.canada.ca/pn-np/ns/cbreton/activ/camping/cheticamp

Réserver les deux emplacements, un tente moyenne et un avec service / pour campeur...",,,,du 1 - 3août
2-Aug,Chéticamp,Chéticamp,,,,,Camping,,$30.00,,,,,
3-Aug,Chéticamp,Halifax,500 km,6h00,10 h,,Hotel,,$500.00,,,,,
4-Aug,Halifax,Halifax,,,,Halifax,Hotel,,$500.00,,,,,
5-Aug,Halifax,Halifax,,,,Lunenberg / Paggy's Cove,Hotel,,$500.00,,,,,
6-Aug,Halifax,Halifax,,,,Clam Harbour /  plages,Hotel,,$500.00,https://parks.novascotia.ca/park/cape-chignecto,,,,
7-Aug,Halifax,Baie de Fundy,350 Km,3h30,5 h,Hopewell Rocks Provincial Park,Camping - réservé,6 février 7h,$40.00,Wolf Point emplacement G#33-34,,,,
8-Aug,Baie de Fundy,Baie de Fundy,,,,,Camping - réservé,,$40.00,,,,,
9-Aug,Baie de Fundy,Maison,750 Km,7h30,,,Maison,,$500.00,gaz,,,,
,,,,,,,,,"$3,050.00",,,,,
